name,candidate_id,state,year,party,has_spouse,dependents_count,sons,daughters,total_children_estimated,notes
Suman Kanjilal,788,West Bengal,2021,BJP,True,3,,,3,Affidavit shows dependents but not gender breakdown
Rafiqur Rahaman,1482,West Bengal,2021,AITC,True,3,,,3,Affidavit shows dependents but not gender breakdown
Sukanta Kumar Paul,476,West Bengal,2021,AITC,True,3,,,3,Affidavit shows dependents but not gender breakdown
Madhusudan Bag,535,West Bengal,2021,BJP,True,3,,,3,Affidavit shows dependents but not gender breakdown
Agnimitra Paul,1865,West Bengal,2021,BJP,True,3,,,3,Affidavit shows dependents but not gender breakdown
