name,candidate_id,state,year,party,has_spouse,dependents_count,sons,daughters,total_children_estimated,notes,error
Suman Kanjilal,788,West Bengal,2021,BJP,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Rafiqur Rahaman,1482,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Sukanta Kumar Paul,476,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Madhusudan Bag,535,West Bengal,2021,BJP,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Agnimitra Paul,1865,West Bengal,2021,BJP,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Moloy Ghatak,1869,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Narayan Goswami,1476,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Abhedananda Thander,1588,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Biswajit Das,1419,West Bengal,2021,BJP,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Sushanta Mahato,92,West Bengal,2021,AITC,True,3.0,,,3.0,Affidavit shows dependents but not gender breakdown,
Arunava Sen (Raja),439,West Bengal,2021,AITC,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Subrata Maitra (Kanchan),1952,West Bengal,2021,BJP,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Chandana Sarkar,1923,West Bengal,2021,AITC,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Manoranjan Bapari,745,West Bengal,2021,AITC,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Baneswar Mahato,192,West Bengal,2021,BJP,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Rana Chatterjee,882,West Bengal,2021,AITC,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Ashok Kumar Lahiri,1669,West Bengal,2021,BJP,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Rajib Lochan Saren,188,West Bengal,2021,AITC,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Swapan Majumder,1438,West Bengal,2021,BJP,True,1.0,,,1.0,Affidavit shows dependents but not gender breakdown,
Ashok Kirtania,1430,West Bengal,2021,,,,,,,,503 Server Error: Service Unavailable for url: https://www.myneta.info/WestBengal2021//candidate.php?candidate_id=1430
