name,position,constituency,party,state,year,source,sons,daughters
Siddaramaiah,Chief Minister,Varuna,INC,Karnataka,2023,Wikipedia,0,0
D. K. Shivakumar,Deputy Chief Minister,Kanakapura,INC,Karnataka,2023,Wikipedia,0,0
G. Parameshwara,Minister,Koratagere,INC,Karnataka,2023,Wikipedia,0,0
M. B. Patil,Minister,Babaleshwar,INC,Karnataka,2023,Wikipedia,0,0
K. J. George,Minister,Sarvagnanagar,INC,Karnataka,2023,Wikipedia,0,0
