name,position,constituency,party,state,year,sons,daughters,source,error
Siddaramaiah,Chief Minister,Varuna,INC,Karnataka,2023,,,Wikipedia,403 Client Error: Forbidden for url: https://en.wikipedia.org/wiki/Siddaramaiah
D. K. Shivakumar,Deputy Chief Minister,Kanakapura,INC,Karnataka,2023,,,Wikipedia,403 Client Error: Forbidden for url: https://en.wikipedia.org/wiki/D._K._Shivakumar
G. Parameshwara,Minister,Koratagere,INC,Karnataka,2023,,,Wikipedia,403 Client Error: Forbidden for url: https://en.wikipedia.org/wiki/G._Parameshwara
M. B. Patil,Minister,Babaleshwar,INC,Karnataka,2023,,,Wikipedia,403 Client Error: Forbidden for url: https://en.wikipedia.org/wiki/M._B._Patil
K. J. George,Minister,Sarvagnanagar,INC,Karnataka,2023,,,Wikipedia,403 Client Error: Forbidden for url: https://en.wikipedia.org/wiki/K._J._George
