name,party,state,sons,daughters,total_children,sex_ratio
Shri Shankarbhai N. Vegad,Bharatiya Janata Party,Gujarat,2.0,1.0,3.0,2.0
Shri Mirza Irshadbaig,Indian National Congress,Gujarat,,,,
Shri K. Sundaram,Swatantra Party,Madras,,,,
Shri Dhananjoy Mohanty,Indian National Congress,Odisha,,,,
Shri C. G. Reddy,Socialist Party,Mysore,,,,
Shri Balkrishna Sharma,Congress,Uttar Pradesh,,,,
Dr. Janardhan Waghmare,Nationalist Congress Party,Maharashtra,1.0,2.0,3.0,0.5
Shri Vilasrao Dagadojirao Deshmukh,Indian National Congress,Maharashtra,3.0,,,
Dr. C. Rangarajan,Nominated,Nominated,1.0,1.0,2.0,1.0
Smt. Angelina Tiga,Jharkhand Party,Bihar,,,,
Shri Bhaurao Dewaji Khobragade,Republican Party of India,Bombay,,,,
Shri Sardar Singh,Independent & Others,Rajasthan,,,,
Dr. Raja Ramanna,Nominated,Nominated,1.0,2.0,3.0,0.5
Shri Karnendu Bhattacharjee,Indian National Congress,Assam,,2.0,,
Shri Satyavrat Chaturvedi,Indian National Congress,Madhya Pradesh,1.0,2.0,3.0,0.5
Shri Alladi Krishnaswami Ayyar,Nominated,Nominated,,,,
Shri Yashpal Kapur,Indian National Congress,Uttar Pradesh,,,,
Shri Somnath P. Dave,Congress,Bombay,,,,
Dr. V. Sivadasan,Communist Party of India (Marxist),Kerala,1.0,1.0,2.0,1.0
Shri Shankar Pratap Singh,Congress,Madhya Pradesh,,,,
Shri Abdur Rezzak Khan,Communist Party of India,West Bengal,,,,
Shri Tika Ram Paliwal,Other,Rajasthan,,,,
Shri Mohammad Roufique,Independent & Others,Assam,,,,
Smt. Ammu Swaminadhan,Congress,Madras,,,,
Shri Gandhi Azad,Bahujan Samaj Party,Uttar Pradesh,2.0,3.0,5.0,0.6666666666666666
Shri Kaptan Singh Solanki,Bharatiya Janata Party,Madhya Pradesh,3.0,2.0,5.0,1.5
Shri Hira Vallabha Tripathi,Congress,Uttar Pradesh,,,,
Shri E.R. Krishnan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Dr. Bhalchandra Mungekar,Indian National Congress,Nominated,1.0,2.0,3.0,0.5
Shri P. Wilson,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,,
Shri K. Vasudeva Panicker,CONG(I),Odisha,,,,
Shri S. Madhavan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Om Prakash Chautala,Janata Dal,Haryana,,,,
Miss Saroj Khaparde,Indian National Congress,Maharashtra,,,,
Shri Nilotpal Basu,Communist Party of India (Marxist),West Bengal,,2.0,,
Shri Vinayakrao Pandurang Patil,Other,Bombay,,,,
Shri A. Vijayaraghavan,Communist Party of India (Marxist),Kerala,1.0,,,
Shri G. Sanjeeva Reddy,Indian National Congress,Andhra Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Rama Bahadur Sinha,Congress,Bihar,,,,
Shri Motiram Udaybhanji Lahane,Janata Party,Maharashtra,,,,
Shri N. Ramakrishna Iyer,Independent & Others,Others,,,,
Shri Surendra Mohan Ghose,Congress,West Bengal,,,,
Shri Ashwani Kumar,Bharatiya Janata Party,Bihar,,,,
Shri M.D. Narayan,Other,Mysore,,,,
Maulana Obaidullah Khan Azmi,Indian National Congress,Madhya Pradesh,3.0,5.0,8.0,0.6
Shri A. W. Rabi Bernard,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,3.0,,
Shri George Fernandes,Janata Dal (United),Bihar,1.0,,,
Dr. Radha Mohan Das Agrawal,Bharatiya Janata Party,Uttar Pradesh,,1.0,,
Shri L.H. Thimmabovi,Congress,Mysore,,,,
Dr. Farooq Abdullah,J&K National Conference,Jammu & Kashmir,1.0,3.0,4.0,0.3333333333333333
Smt. Kanak Mukherjee,Communist Party of India (Marxist),West Bengal,,,,
Shri J. C. Nagi Reddy,Other,Andhra Pradesh,,,,
Shri Syed Hussain,Congress,Jammu & Kashmir,,,,
Shri Korambayil Ahammed Haji,Muslim League,Kerala,1.0,,,
Shri Chandra Shekhar,Independent & Others,Uttar Pradesh,,,,
Shri N. K. Singh,Janata Dal (United),Bihar,1.0,2.0,3.0,0.5
Syed Nausher Ali,Communist Party of India,West Bengal,,,,
Prof.(Smt) Bharati Ray,Communist Party of India (Marxist),West Bengal,1.0,2.0,3.0,0.5
Shri V. B. Raju,Congress,Andhra Pradesh,,,,
Dr. Bapu Kaldate,Janata Dal,Maharashtra,,,,
Shri Satish Chandra Dubey,Bharatiya Janata Party,Bihar,,1.0,,
Shri N.P. Chaudhari,CONG(I),Madhya Pradesh,,,,
Shri Bheron Prasad,Congress,Bhopal,,,,
Dr. Manik Saha,Bharatiya Janata Party,Tripura,,2.0,,
Shri Manubhai Shah,Congress,Gujarat,,,,
Shri Faqir Chand Mullana,Indian National Lok Dal,Haryana,2.0,2.0,4.0,1.0
Shri Ananda Pathak,Communist Party of India (Marxist),West Bengal,,,,
Shri K. Chandran Pillai,Communist Party of India (Marxist),Kerala,1.0,1.0,2.0,1.0
Shri D. Kupendra Reddy,Janata Dal (Secular),Karnataka,1.0,2.0,3.0,0.5
Shri V. Arunachalam alias Aladi Aruna,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri P. Kannan,Indian National Congress,Puducherry,1.0,1.0,2.0,1.0
Shri T.K.C. Vaduthala,CONG(I),Kerala,,,,
Shri Govindrao Ramchandra Mhaisekar,Indian National Congress,Maharashtra,,,,
Shri B.P. Nagaraja Murthy,Indian National Congress,Karnataka,,,,
Dr. Sasmit Patra,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri Surender Singh,CONG(I),Haryana,,,,
Shri Prabhakar Reddy Vemireddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,,,,
Dr. M.S. Gill,Indian National Congress,Punjab,,3.0,,
Shri Meghjibhai Pethraj Shah,Congress,Bombay,,,,
Shri Abdul Samad Siddiqui,Janata Dal,Karnataka,,,,
Smt. Vimal Punjab Deshmukh,Congress,Maharashtra,,,,
Shri Dilip Kumar Tirkey,Biju Janata Dal,Odisha,1.0,,,
Shri Prem Chand Gupta,Rashtriya Janata Dal,Bihar,2.0,1.0,3.0,2.0
Shri Pravat Kumar Samantaray,Janata Dal,Odisha,,,,
Shri Virendra Verma,Janata Dal,Uttar Pradesh,,,,
Smt. Tara Ramchandra Sathe,Congress,Maharashtra,,,,
Shri Prabhat Jha,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri Balihari Babu,Bahujan Samaj Party,Uttar Pradesh,2.0,8.0,10.0,0.25
Shri S.B. Chavan,Indian National Congress,Maharashtra,1.0,5.0,6.0,0.2
Shri J.H. Subbiah,Scheduled Castes Federation,Hyderabad,,,,
Shri Manubhai Patel,Janata Dal,Gujarat,,,,
Shri Raj Nath Singh,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Smt. Jahanara Jaipal Singh,Congress,Bihar,,,,
Shri Maheswar Prasad Narain Sinha,Socialist Party,Bihar,,,,
Shri Mehr Chand Khanna,Indian National Congress,National Capital Territory of Delhi,,,,
Shri Krishan Lal Panwar,Bharatiya Janata Party,Haryana,2.0,1.0,3.0,2.0
Smt. Maragatham Chandrasekhar,CONG(I),Nominated,,,,
Shri Anthiyur P. Selvarasu,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,2.0,3.0,0.5
Shri Khushwant Singh,Nominated,Nominated,,,,
Shri Murli Deora,Indian National Congress,Maharashtra,2.0,,,
Shri H.R. Basavaraj,CONG(I),Karnataka,,,,
Shri G. Sankara Kurup,Nominated,Nominated,,,,
Dr. K. Laxman,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Ram Narain Dudi,Bharatiya Janata Party,Rajasthan,3.0,,,
Km. Mayawati,Bahujan Samaj Party,Uttar Pradesh,,,,
Dr. Banda Prakash,Telangana Rashtra Samithi,Telangana,,1.0,,
Pandit Sham Sundar Narain Tankha,Congress,Uttar Pradesh,,,,
Shri Indra Vidyavachaspati,Indian National Congress,Uttar Pradesh,,,,
Shri Barkatullah Khan,Indian National Congress,Rajasthan,,,,
Shri P. Shiv Shanker,CONG(I),Gujarat,,,,
Smt. Kanak Lata Singh,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Dr. Gyan Prakash Pilania,Bharatiya Janata Party,Rajasthan,1.0,2.0,3.0,0.5
Shri Ghulam Rasool Kar,Indian National Congress,Nominated,,,,
Dr. Syed Mahmud,Congress,Bihar,,,,
Shri Abir Ranjan Biswas,All India Trinamool Congress,West Bengal,,,,
Shri K.R. Suresh Reddy,Bharat Rashtra Samithi,Telangana,1.0,1.0,2.0,1.0
Shri Tarkeshwar Pande,Congress,Uttar Pradesh,,,,
Dr. Z.A. Ahmad,Communist Party of India,Uttar Pradesh,,,,
Shri Chandan Sharma,CONG(I),Himachal Pradesh,,,,
Smt. Sushila Shankar Adivarekar,CONG(I),Maharashtra,,,,
Prof. Shantilal Kothari,Indian National Congress,Rajasthan,,,,
Shri Md. Salim,Communist Party of India (Marxist),West Bengal,2.0,,,
Shri Nirmal Chatterjee,Communist Party of India (Marxist),West Bengal,,,,
Shri Gaya Chand Bhuyan,Janata Party,Odisha,,,,
Dr. Mansukh Mandaviya,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Binoy Viswam,Communist Party of India,Kerala,,2.0,,
Prof. M.V. Rajeev Gowda,Indian National Congress,Karnataka,1.0,1.0,2.0,1.0
Shri Sushil Barongpa,CONG(I),Himachal Pradesh,,,,
Shri Robert Kharshiing,Nationalist Congress Party,Meghalaya,,,,
Dr. M. Aram,Nominated,Nominated,,,,
Prof. I.G. Sanadi,CONG(I),Karnataka,,,,
Miss Kumudben M. Joshi,CONG(I),Gujarat,,,,
Shri Drupad Borgohain,Communist Party of India,Assam,,,,
Shri Ram Pujan Patel,Indian National Congress,Uttar Pradesh,,,,
Dr. Amar Patnaik,Biju Janata Dal,Odisha,,2.0,,
Shri S. Viduthalai Virumbi,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Harnath Singh Yadav,Bharatiya Janata Party,Uttar Pradesh,2.0,,,
Smt. Kamla Sinha,Janata Dal,Bihar,,,,
Shri Mohan Lal Saksena,Nominated,Nominated,,,,
Shri Sangdopal Lepcha,Communist Party of India (Marxist),West Bengal,,,,
Shri Jai Narain Prasad Nishad,Bharatiya Janata Party,Bihar,1.0,4.0,5.0,0.25
Shri Harish Chandra Mathur,Independent & Others,Rajasthan,,,,
Shri Akbar Ali Khan,Indian National Congress,Andhra Pradesh,,,,
Shri Surinder Kumar Singla,CONG(I),Punjab,,,,
Shri Purnananda Chetia,Congress,Assam,,,,
Ms. Dola Sen,All India Trinamool Congress,West Bengal,,,,
Shri La. Ganesan,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri Sardar Amjad Ali,CONG(I),West Bengal,,,,
Shri Nilamoni Routray,Janata,Odisha,,,,
Jathedar Udham Singh Nagoke,Indian National Congress,Punjab,,,,
Shri Bhagat Singh Koshyari,Bharatiya Janata Party,Uttarakhand,,,,
Shri Avtar Singh Karimpuri,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,2.0,1.0
