name,party,state,sons,daughters,total_children,sex_ratio
Shri Akhtar Hussain,Congress,Uttar Pradesh,,,,
Shri Ghanshyam Tiwari,Bharatiya Janata Party,Rajasthan,2.0,1.0,3.0,2.0
Shri Gunanand Thakur,Congress,Bihar,,,,
Shri Veerendra Patil,Janata,Karnataka,,,,
Shri Lakshmi Kant Jha,Congress,Bihar,,,,
Shri T.S. Pattabiraman,Congress,Madras,,,,
Shri Lokanath Misra,Janata,Odisha,,,,
Shri Ramkumar Verma,Bharatiya Janata Party,Rajasthan,2.0,1.0,3.0,2.0
Shri Hukmdeo Narain Yadav,Janata,Bihar,,,,
Shri Moolchand Meena,Indian National Congress,Rajasthan,1.0,2.0,3.0,0.5
Shri Jabir Husain,Rashtriya Janata Dal,Bihar,1.0,2.0,3.0,0.5
Shri Subas Mohanty,Indian National Congress,Odisha,,,,
Smt. Renuka Chowdhury,Indian National Congress,Andhra Pradesh,,2.0,,
Shri Raj Mohinder Singh Majitha,Shiromani Akali Dal,Punjab,2.0,1.0,3.0,2.0
Shri Satya Prakash Malaviya,Janata Dal,Uttar Pradesh,,,,
Shri N.R. Govindarajar,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,,
Shri Nemi Chandra Kasliwal,Indian National Congress,Rajasthan,,,,
Dr. Jinendra Kumar Jain,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri Leonard Soloman Saring,Congress,Sikkim,,,,
Shri Shadi Lal Batra,Indian National Congress,Haryana,,3.0,,
Shri Madan Bhatia,CONG(I),Nominated,,,,
Smt. Ambika Soni,Indian National Congress,Punjab,1.0,,,
Shri Vijay Singh Yadav,Rashtriya Janata Dal,Bihar,4.0,4.0,8.0,1.0
Smt. Seema Dwivedi,Bharatiya Janata Party,Uttar Pradesh,1.0,,,
Smt. Rathnabai Sreenivasa Rao,Janata,Andhra Pradesh,,,,
Shri Rajni Ranjan Sahu,CONG(I),Bihar,,,,
Smt. Malti Sharma,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Mohan Manikchand Dharia,Congress,Maharashtra,,,,
Shri K.C. Pant,CONG(I),Uttar Pradesh,,,,
Shri M. Maddanna,Indian National Congress,Karnataka,,,,
Shri Motilal Vora,Indian National Congress,Chhattisgarh,2.0,4.0,6.0,0.5
Smt. Mamata Mohanta,Biju Janata Dal,Odisha,1.0,,,
Shri Gurudas Das Gupta,Communist Party of India,West Bengal,,,,
Shri Ramanand Yadav,CONG(I),Bihar,,,,
Shri Bangaru Laxman,Bharatiya Janata Party,Gujarat,1.0,3.0,4.0,0.3333333333333333
Shri Kailash Narain Sarang,Bharatiya Janata Party,Madhya Pradesh,,,,
Dr. Subhash Chandra,Independent & Others,Haryana,2.0,1.0,3.0,2.0
Shri Ratna Bahadur Rai,Communist Party of India (Marxist),West Bengal,,,,
Smt. Sarojini Hembram,Biju Janata Dal,Odisha,,,,
Mirza Abdul Rashid,J&K National Conference,Jammu & Kashmir,3.0,2.0,5.0,1.5
Shri Piyush Goyal,Bharatiya Janata Party,Maharashtra,1.0,1.0,2.0,1.0
Shri M.P. Kaushik,Indian National Congress,Haryana,,,,
Shri Balavant alias Bal Apte,Bharatiya Janata Party,Maharashtra,,1.0,,
Smt. Amarjit Kaur,CONG(I),Punjab,,,,
Shri Kesavan Thazhava,Communist Party of India (Marxist),Kerala,,,,
Shri Tridib Chaudhuri,Revolutionary Socialist Party,West Bengal,,,,
Shri Rajendra Pratap Sinha,Congress,Bihar,,,,
Shri V. K. Krishna Menon,Indian National Congress,Madras,,,,
Shri Sudhakar Pandey,CONG(I),Uttar Pradesh,,,,
Shri Trilochan Dutta,Congress,Jammu & Kashmir,,,,
Shri Jagat Narain,BKD,Haryana,,,,
Prof. Naunihal Singh,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Ahmad Hossain Mondal,Indian National Congress,West Bengal,,,,
Shri Ahmad Said Khan,Indian National Congress,Uttar Pradesh,,,,
Dr. Laxmikant Bajpayee,Bharatiya Janata Party,Uttar Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Ashwini Vaishnaw,Bharatiya Janata Party,Odisha,1.0,1.0,2.0,1.0
Dr. K. Kasturirangan,Nominated,Nominated,2.0,,,
Shri Ghufran Azam,CONG(I),Madhya Pradesh,,,,
Shri Sabir Ali,Janata Dal (United),Bihar,5.0,2.0,7.0,2.5
Shri Shankarrao Bajirao Bobdey,Congress,Maharashtra,,,,
Shri Arun Prakash Chatterjee,Communist Party of India (Marxist),West Bengal,,,,
Shri Imran Pratapgarhi,Indian National Congress,Maharashtra,,,,
Smt. Ratan Kumari,CONG(I),Madhya Pradesh,,,,
Shri Ajit Kumar Bhuyan,Independent & Others,Assam,,,,
Shri Janardan Yadav,Bharatiya Janata Party,Bihar,,,,
Shri Mukhtar Abbas Naqvi,Bharatiya Janata Party,Jharkhand,1.0,,,
Shri Harbhajan Singh,Aam Aadmi Party,Punjab,1.0,1.0,2.0,1.0
Shri Mahesh Jethmalani,Bharatiya Janata Party,Nominated,2.0,1.0,3.0,2.0
Shri Sonusing Dhansing Patil,Congress,Bombay,,,,
Shri Jaggesh,Bharatiya Janata Party,Karnataka,2.0,,,
Shri Jugalsinh Lokhandwala,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Yusuf Sarwar Khan alias Dilip Kumar,Indian National Congress,Maharashtra,,,,
Shri Soumya R. Patnaik,Biju Janata Dal,Odisha,,2.0,,
Dr. L. Murugan,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri Shabbir Ahmad Salaria,J&K National Conference,Jammu & Kashmir,,,,
Dr. Sudhanshu Trivedi,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Dr. L. Hanumanthaiah,Indian National Congress,Karnataka,1.0,1.0,2.0,1.0
Shri Surendra Mohanty,Indian National Congress,Odisha,,,,
Shri K.C. Sebastian,Congress,Kerala,,,,
Shri Ishwarlal Shankarlal Jain,Nationalist Congress Party,Maharashtra,2.0,1.0,3.0,2.0
Smt. Anandiben Jethabhai Patel,Bharatiya Janata Party,Gujarat,,,,
Shri Lila Dhar Barooah,Congress,Assam,,,,
Smt. Omem Moyong Deori,CONG(I),Arunachal Pradesh,,,,
Shri S.S. Ahluwalia,Bharatiya Janata Party,Jharkhand,3.0,2.0,5.0,1.5
Smt. Jharna Das Baidya,Communist Party of India (Marxist),Tripura,,,,
Shri S. Venkataraman,Congress,Madras,,,,
Shri A.G. Kulkarni,Indian National Congress,Maharashtra,,,,
Shri Bandhu Mahto,Indian National Congress,Bihar,,,,
Shri F.M. Khan,Indian National Congress,Karnataka,,,,
Shri B.K. Hariprasad,Indian National Congress,Karnataka,,1.0,,
Shri Yerra Narayanaswamy,Telugu Desam Party,Andhra Pradesh,,,,
Shri Jibon Roy,Communist Party of India (Marxist),West Bengal,1.0,,,
Shri Kailash Joshi,Bharatiya Janata Party,Madhya Pradesh,3.0,3.0,6.0,1.0
Shri Manmathnath Misra,Indian National Congress,Odisha,,,,
Dr. Anbumani Ramadoss,Pattali Makkal Katchi,Tamil Nadu,,3.0,,
Shri Kuldip Nayyar,Nominated,Nominated,2.0,,,
Shri V. Ramanathan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Darshan Singh Yadav,Samajwadi Party,Uttar Pradesh,3.0,,,
Shri R.T. Parthasarathy,Other,Madras,,,,
Shri Ramji,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Miss Anusuiya Uikey,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri M. R. Mujumdar,Indian National Congress,Madhya Pradesh,,,,
Shri Debabrata Mookerjee,Other,West Bengal,,,,
Shri Bhajan Lal,CONG(I),Haryana,,,,
Dr. Dharam Prakash,Congress,Uttar Pradesh,,,,
Shri A. D. Singh,Rashtriya Janata Dal,Bihar,,,,
Shri N. Narotham Reddy,Congress,Andhra Pradesh,,,,
Shri Pir Mohhmed Khan,J&K National Conference,Jammu & Kashmir,,,,
Smt. Ranee Narah,Indian National Congress,Assam,2.0,,,
Dr. Atindra Nath Bose,Praja Socialist Party,West Bengal,,,,
Shri Murasoli Maran,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri A. Nallasivan,Communist Party of India (Marxist),Tamil Nadu,,,,
Shri R.R. Diwakar,Nominated,Nominated,,,,
Shri J.P. Javali,Janata Dal,Karnataka,,,,
Shri Ranjitsinh Vijaysinh Mohite-Patil,Nationalist Congress Party,Maharashtra,1.0,,,
Shri Bhubanananda Das,Congress,Odisha,,,,
Smt. Naznin Faruque,Indian National Congress,Assam,,,,
Shri Tarini Kanta Roy,Communist Party of India (Marxist),West Bengal,,,,
Dr. Wanweiroy Kharlukhi,National Peoples Party,Meghalaya,,2.0,,
Dr. Biplab Dasgupta,Communist Party of India (Marxist),West Bengal,1.0,,,
Dr. Y. Radhakrishna Murty,Communist Party of India (Marxist),Andhra Pradesh,2.0,1.0,3.0,2.0
Dr. Ejaz Ali,Janata Dal (United),Bihar,1.0,2.0,3.0,0.5
Shri Sangh Priya Gautam,Bharatiya Janata Party,Uttarakhand,1.0,,,
Shri G. Lakshmanan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Mahesh Saran,Indian National Congress,Bihar,,,,
Shri Bhubaneswar Kalita,Bharatiya Janata Party,Assam,2.0,,,
Shri Nageshwar Prasad Shahi,Janata,Uttar Pradesh,,,,
Shri Pasupon Tha Kiruttinan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Jalaludin Ansari,Communist Party of India,Bihar,,,,
Shri A.A. Jinnah,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,3.0,4.0,0.3333333333333333
Shri M.S. Abdul Khader,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Krishna Chandra,Indian National Congress,Uttar Pradesh,,,,
Shri Jagjit Singh Anand,Communist Party of India,Punjab,,,,
Shri Mohamed Valiulla,Congress,Mysore,,,,
Smt. Sita Devi,Congress,Punjab,,,,
Smt. M.C. Mary Kom,Nominated,Nominated,3.0,,,
Smt. N.P. Durga,Telugu Desam Party,Andhra Pradesh,,2.0,,
Shri Shamsher Singh Manhas,Bharatiya Janata Party,Jammu & Kashmir,1.0,1.0,2.0,1.0
Shri Sadiq Ali,Congress,Rajasthan,,,,
Maulana M. Tayyebulla,Congress,Assam,,,,
Dr. R. Lakshmanan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Ahmed Patel,Indian National Congress,Gujarat,1.0,1.0,2.0,1.0
Shri Dharanidhar Basumatari,CONG(I),Assam,,,,
Shri Tribhuvan Narayan Singh,Congress (O),Uttar Pradesh,,,,
Shri Bhim Raj,CONG(I),Rajasthan,,,,
Begum Aizaz Rasul,Congress,Uttar Pradesh,,,,
Shri Rasheed Masood,Indian National Congress,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Sikander Bakht,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri Abdul Qaiyum Ansari,Congress,Bihar,,,,
Shri Anand Sharma,Indian National Congress,Himachal Pradesh,2.0,,,
Shri Braj Bihari Sharma,Congress,Uttar Pradesh,,,,
Shri Shishir Kumar,Praja Socialist Party,Bihar,,,,
Shri Shyamnandan Mishra,Indian National Congress,Bihar,,,,
Shri Man Singh Varma,Jansangh,Uttar Pradesh,,,,
Chaudhary Harmohan Singh Yadav,Samajwadi Party,Nominated,5.0,,,
Shri Trimbak Damodar Pustake,Congress,Madhya Bharat,,,,
Smt. Jebi Mather Hisham,Indian National Congress,Kerala,1.0,,,
Shri K.C. Karumbaya,Communist Party of India,Ajmer and Coorg,,,,
Shri Barjinder Singh Hamdard,Independent & Others,Punjab,,3.0,,
Dr. Nagen Saikia,Asom Gana Parishad,Assam,,,,
Dr. Dara Hormusji Variava,Congress,Bombay,,,,
Smt. Sultan Maimoona,CONG(I),Madhya Pradesh,,,,
Shri Kali Mukherjee,Indian National Congress,West Bengal,,,,
Shri Kamal Akhtar,Samajwadi Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Prof. M. Sankaralingam,Dravida Munnetra Kazhagam,Tamil Nadu,4.0,1.0,5.0,4.0
Shri Dara Singh,Bharatiya Janata Party,Nominated,2.0,3.0,5.0,0.6666666666666666
Shri Piloo Mody,Janata,Gujarat,,,,
Shri Lalu Prasad,Rashtriya Janata Dal,Bihar,2.0,7.0,9.0,0.2857142857142857
Shri P.K. Kumaran,Communist Party of India,Andhra Pradesh,,,,
Dr. Waman Sheodas Barlingay,Congress,Madhya Pradesh,,,,
Smt. Nargis Dutt,Nominated,Nominated,,,,
Dr. Chhattrapal Singh Lodha,Bharatiya Janata Party,Odisha,4.0,1.0,5.0,4.0
Shri Sarada Mohanty,Janata Dal,Odisha,,,,
Shri Puranmal S. Lahoti,Indian National Congress,Hyderabad,,,,
Smt. Pratima Bose,Congress,West Bengal,,,,
Shri Indra Bhushan Beed,Congress,West Bengal,,,,
Shri Radhakrishna Biswasroy,Congress,Odisha,,,,
Shri Pandharinath Sitaramji Patil,Congress,Maharashtra,,,,
Shri Surajmal Saha,Other,Odisha,,,,
Shri Mahendra Singh Ranawat,Congress,Rajasthan,,,,
Kunwarani Vijaya Raje,Janata,Bihar,,,,
Shri Nandi Yellaiah,Indian National Congress,Andhra Pradesh,2.0,2.0,4.0,1.0
Prof. Ardeshir Ruttonji Wadia,Nominated,Nominated,,,,
Shri S. A. Khaja Mohideen,Muslim League,Tamil Nadu,,,,
Shri Thalekkunnil Basheer,CONG(I),Kerala,,,,
Shri Ganesh Lal Mali,Indian National Congress,Rajasthan,,,,
Shri Kanhu Charan Lenka,Indian National Congress,Odisha,,,,
Shri K. P. Mallikarjunudu,Congress (O),Andhra Pradesh,,,,
Shri V. Lakshmikantha Rao,Telangana Rashtra Samithi,Telangana,1.0,,,
Shri C. Narayana Pillai,Congress,Travancore Cochin,,,,
Shri S. Ramachandran Pillai,Communist Party of India (Marxist),Kerala,2.0,1.0,3.0,2.0
Smt. Shyamkumari Devi,Congress,Madhya Pradesh,,,,
Shri Birabhadra Singh,Biju Janata Dal,Odisha,1.0,2.0,3.0,0.5
Shri R.K. Bhuwalka,Congress,West Bengal,,,,
Shri P. Chidambaram,Indian National Congress,Tamil Nadu,1.0,,,
Smt. Misha Bharti,Rashtriya Janata Dal,Bihar,1.0,2.0,3.0,0.5
Shri Bapuraoji Marotraoji Deshmukh,CONG(I),Maharashtra,,,,
Dr. Chandan Mitra,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri M.V. Shreyams Kumar,Loktantrik Janata Dal,Kerala,1.0,3.0,4.0,0.3333333333333333
Shri S. Selvaganabathy,Bharatiya Janata Party,Puducherry,,1.0,,
Shri Gireesh Kumar Sanghi,Indian National Congress,Andhra Pradesh,2.0,1.0,3.0,2.0
Shri Raghavji,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri Ranganath Misra,Indian National Congress,Odisha,2.0,,,
Shri Salam Tombi,Manipur Peoples Party,Manipur,,,,
Shri Awadeshwar Prasad Sinha,Congress,Bihar,,,,
Smt. Sarla Bhadauria,Sikkim Sangram Parishad,Uttar Pradesh,,,,
Shri Rameshwar Thakur,CONG(I),Bihar,,,,
Chaudhary Munvvar Saleem,Samajwadi Party,Uttar Pradesh,2.0,3.0,5.0,0.6666666666666666
Shri Tara Shankar Banerjee,Nominated,Nominated,,,,
Shri Hardeep Singh Puri,Bharatiya Janata Party,Uttar Pradesh,,2.0,,
Shri K. Somaprasad,Communist Party of India (Marxist),Kerala,1.0,2.0,3.0,0.5
Shri C.M. Ibrahim,Janata Dal,Karnataka,1.0,6.0,7.0,0.16666666666666666
Shri B.T. Kemparaj,Indian National Congress,Others,,,,
Prof. B. Ramachandra Rao,CONG(I),Andhra Pradesh,,,,
Shri Chunibhai Kanjibhai Gohel,Bharatiya Janata Party,Gujarat,1.0,,,
Shri Nandamuri Harikrishna,Telugu Desam Party,Andhra Pradesh,3.0,1.0,4.0,3.0
Shri K. Chathunni Master,Communist Party of India (Marxist),Kerala,,,,
Shri Syed Mohammad Jalali,J&K National Conference,Jammu & Kashmir,,,,
Shri Sriman Prafulla Goswami,Congress,Assam,,,,
Shri Ramakrishna Hegde,Janata Party,Karnataka,1.0,2.0,3.0,0.5
Sardar Chandroji Sambhaji Rao Angre,Hindu Mahasabha,Madhya Bharat,,,,
