mpcode,name,party,state,numberOfSons,numberOfDaughters,spouse,qualification,dateOfBirth,profession
2333,Vivek K. Tankha,Indian National Congress,Madhya Pradesh,1.0,1.0,Shrimati Aarti Tankha,"B.A., LL.B.
Educated at University of Delhi",1956-09-21T00:00:00,
2343,P. Chidambaram,Indian National Congress,Tamil Nadu,1.0,,Shrimati  Nalini Chidambaram,"B.Sc., B.L., M.B.A.
Educated at University of Madras, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.)",1945-09-16T00:00:00,
2351,Sanjay Seth,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,Shrimati Leena Seth,"B.Com
Educated at Lucknow University, Lucknow, Uttar Pradesh",1961-02-10T00:00:00,
2353,Surendra Singh Nagar,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,Shrimati Rakhi Nagar,"B.Com
Educated at SSV (PG) College Hapur, Ghaziabad (Uttar Pradesh)",1965-05-10T00:00:00,
2371,Hardeep Singh Puri,Bharatiya Janata Party,Uttar Pradesh,,2.0,Shrimati Lakshmi Puri,"B.A. (Hons.) History, First in order of Merit; M.A.(History), First class
Educated at University of Delhi, Delhi",1952-02-15T00:00:00,
2372,Sanjay Singh,Aam Aadmi Party,National Capital Territory of Delhi,1.0,1.0,Shrimati Anita Singh,"Diploma in Mining Engineering 
Educated at Orissa School of Mining Engineering, Keonjhar (Odisha)",1972-03-23T00:00:00,
2374,Narain Dass Gupta,Aam Aadmi Party,National Capital Territory of Delhi,1.0,2.0,Late Shrimati Veena Gupta,"B.Com. (Hons.), Chartered Accountancy
Educated at Shri Ram College of Commerce, University of Delhi, Delhi and The Institute of Chartered Accountants of India, Delhi",1945-10-16T00:00:00,
2377,Akhilesh Prasad Singh,Indian National Congress,Bihar,1.0,1.0,Shrimati Veena Singh,"M.A. (Eng.), M.Sc., Ph.D.
Educated at Patna University, Patna, Bihar",1962-01-05T00:00:00,
2379,Manoj Kumar Jha,Rashtriya Janata Dal,Bihar,,2.0,Shrimati Namrata Jha,"M.A. (Social Work), Ph.D.
Educated at University of Delhi, Delhi",1967-08-05T00:00:00,
2384,G.C. Chandrashekhar,Indian National Congress,Karnataka,1.0,1.0,Dr. Sudha Chandrashekar,"M.A. (Public Administration)
Educated at Periyar University, Salem, Tamil Nadu",1963-02-12T00:00:00,
2386,Syed Naseer Hussain,Indian National Congress,Karnataka,2.0,,Shrimati Mehnaz Ansari,"M.A. (Political Science), M.Phil. (International Studies), Ph.D. (International Studies)
Educated at St. Philomena's College, Mysore, University of Mysore, Mysore and Jawaharlal Nehru  University, New Delhi",1970-06-10T00:00:00,
2416,Jose K. Mani,Kerala Congress (M),Kerala,1.0,2.0,Shrimati  Nisha Jose,"B.Com., M.B.A. 
Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore, Tamil Nadu",1964-05-29T00:00:00,
2423,Sasmit Patra,Biju Janata Dal,Odisha,1.0,1.0,Dr. Sweta Millicent Paul,"B.A.(Hons.), LL.B., M.B.A, Ph.D. (Management)
Educated at Utkal University, Bhubaneswar and Allahabad
Agricultural Institute (Deemed University), Allahabad,
Uttar Pradesh",1979-03-23T00:00:00,
2425,Ashwini Vaishnaw,Bharatiya Janata Party,Odisha,1.0,1.0,Shrimati Sunita Vaishnaw,"B.E., M.Tech., M.B.A. 
Educated at MBM Engineering College, Jodhpur, Indian Institute of Technology, Kanpur and Wharton Business School, University of Pennsylvania, U.S.A.",1970-07-18T00:00:00,
2426,S. Jaishankar,Bharatiya Janata Party,Gujarat,2.0,1.0,Shrimati Kyoko Somekawa Jaishankar,"B.Sc., M.A. (Political Science), M.Phil., Ph.D. (International Relations)
Educated at University of Delhi, Delhi and  Jawaharlal Nehru University, New Delhi",1955-01-09T00:00:00,
2431,P. Wilson,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,Thirumathi R. Vanmathi,"B.Sc., B.L.
Educated at Loyola College, Chennai  and Madras Law College, Chennai,Tamil Nadu",1966-06-06T00:00:00,
2435,Satish Chandra Dubey,Bharatiya Janata Party,Bihar,,1.0,Shrimati Alka Kumari,"Intermediate
Educated at T.P. Verma College, Narkatiaganj, West Champaran, Bihar",1975-05-02T00:00:00,
2436,Sudhanshu Trivedi,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,Dr. Shalini Trivedi,"Ph.D. (Mechanical Engineering)
Educated at Dr. A.P.J. Abdul Kalam Technical University (previously U.P. Technical University), Lucknow, Uttar Pradesh",1970-10-20T00:00:00,
2437,Arun Singh,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,Shrimati Meenakshi Singh,"B.Com., Chartered Accountant   
Educated at Allahabad University, Allahabad  and The Institute of  Chartered Accountants  of India,  New Delhi",1965-04-04T00:00:00,
2438,Ranjan Gogoi,Nominated,Nominated,1.0,1.0,Shrimati Rupanjali Gogoi,"B.A. (Hons.) History, LL.B.
Educated at University of Delhi, Delhi",1954-11-18T00:00:00,
2440,Bhagwat Karad,Bharatiya Janata Party,Maharashtra,3.0,,Shrimati Anjali,"M.B.B.S., M.S. (Gen. Surgery),  M.Ch. (Pediatric Surgery), F.C.P.S. (Gen. Surgery)
Educated at Dr. Babasaheb Ambedkar Marathwada University, Mumbai, College of Physicians and Surgeons, Mumbai University, Mumbai, Maharashtra",1956-07-16T00:00:00,
2441,Fauzia Khan,Nationalist Congress Party-SHARADCHANDRA PAWAR,Maharashtra,1.0,1.0,Shri Tahseen Ahmed Khan,"S.S.C., B.A., M.A. (English), M.Phil., PGCTE and Ph.D.
Educated at Marathwada University, Aurangabad, Central Institute of English and Foreign Languages, Hyderabad and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad, Maharashtra",1957-02-19T00:00:00,
2442,Priyanka Chaturvedi,Shiv Sena-Uddhav Balasaheb Thackeray,Maharashtra,1.0,1.0,Shri Vickram Narendranath Chaturvedi,"B.Com. 
Educated at Narsee Monjee College of Commerce and Economics, Vile Parle, Mumbai, Maharashtra",1978-11-19T00:00:00,
2445,Mamata Mohanta,Bharatiya Janata Party,Odisha,1.0,,Shri Bijay Kumar Mohanta,"B.A. 
Educated at Shri Maa Mahila Mahavidyalaya, Utkal University, Baripada, Odisha",1976-02-20T00:00:00,
2446,Muzibulla Khan,Biju Janata Dal,Odisha,,1.0,Shrimati Sahida Khatun,,1963-01-13T00:00:00,
2447,Sujeet Kumar,Bharatiya Janata Party,Odisha,1.0,,Shrimati Swati Kumar,"B.E., LL.B., M.B.A., Master in Public Administration (MPA)
Educated at Sambalpur University, Burla, Odisha, Oxford University, U.K. and Harvard University, U.S.A.",1975-11-17T00:00:00,
2449,N.R. Elango,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,Shrimati Aruna Elango,"B.L.
Educated at Government Law College, Trichy, Tamil Nadu",1966-07-16T00:00:00,
2450,Anthiyur P. Selvarasu,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,2.0,Shrimati S. Pappathi,"8th Standard
Educated at Government Elementary School, Distt. Erode, Tamil Nadu",1955-06-06T00:00:00,
2451,M. Thambidurai,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,Dr. (Smt.) Banumathi Thambi Durai,"M.A., M.Phil., M.Litt., Ph.D. (Economics)
Educated at Madras Christian College, 
Madras University, Chennai, Tamil Nadu",1947-03-15T00:00:00,
2454,Bikash Ranjan Bhattacharyya,Communist Party of India (Marxist),West Bengal,1.0,,Shrimati Ibha Bhattacharyya,"B.Sc. (Hons.), LL.B.
Educated at Asutosh College, Calcutta University and   College of Law, University of Calcutta, Kolkata, West Bengal",1951-11-27T00:00:00,
2455,Mausam B Noor,All India Trinamool Congress,West Bengal,,,Mirza Kayesh Begg,"LL.B.
Educated at Department of Law, Calcutta University, Kolkata, West Bengal",1979-10-15T00:00:00,
2456,Subrata Bakshi,All India Trinamool Congress,West Bengal,1.0,,Shrimati Sahana Bakshi,"B.Sc., LL.B.
Educated at Ashutosh College, Calcutta University, Kolkata and Hazra College of Law, Calcutta University, Kolkata, West Bengal",1950-07-23T00:00:00,
2457,Ajit Kumar Bhuyan,Independent & Others,Assam,,,,"B.A.
Educated at Dibrugarh University, Assam",1953-02-01T00:00:00,
2458,A. D. Singh,Rashtriya Janata Dal,Bihar,,,,"B.A. (Hons.)
Educated at St. Michael's School, Patna and  Kirori Mal College, University of Delhi",1959-11-10T00:00:00,
2460,Phulo Devi Netam,Indian National Congress,Chhattisgarh,2.0,,Shri Tulasi Das Netam,"12th  Standard 
Educated at Jagdalpur,  Chhattisgarh",1972-01-10T00:00:00,
2462,Ram Chander Jangra,Bharatiya Janata Party,Haryana,2.0,1.0,Shrimati Kamlesh Devi,"Graduate 
Educated at Govt. College, Rohtak, Haryana",1950-05-08T00:00:00,
2463,Indu Bala Goswami,Bharatiya Janata Party,Himachal Pradesh,,,,"B.A.
Educated at Himachal Pradesh University, Shimla, Himachal Pradesh",1967-04-12T00:00:00,
2464,K.R. Suresh Reddy,Bharat Rashtra Samithi,Telangana,1.0,1.0,Shrimati K. R. Padmaja Reddy,"B.A.
Educated at Nizam College, Osmania University, Hyderabad, Telangana",1959-05-25T00:00:00,
2465,Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2.0,,Shrimati Dakshayani Alla,"M.E. (Master of Engineering)
Educated at College of Engineering, Osmania University Campus, Hyderabad, Telangana",1963-08-01T00:00:00,
2466,Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2.0,1.0,Shrimati Satyanarayanamma,"B.Sc.
Educated at VSM College, Ramachandrapuram,
Andhra Pradesh",1950-08-08T00:00:00,
2469,Narhari Amin,Bharatiya Janata Party,Gujarat,1.0,,Shrimati Nita Narhari Amin,"B.Com., LL.B.
Educated at Gujarat University, Ahmedabad, Gujarat",1955-06-05T00:00:00,
2470,Shaktisinh Gohil,Indian National Congress,Gujarat,,,,"Bachelor of Science, Bachelor of Legislative Law, Diploma in Journalism, Masters of Legislative Law (LL.M.)
Educated at Bhavnagar University, Bhavnagar, Saurashtra University, Rajkot, Gujarat",1960-04-04T00:00:00,
2471,Ramilaben Becharbhai Bara,Bharatiya Janata Party,Gujarat,1.0,1.0,Shri Vinodbhai  Manjibhai Madia,"B.A. (English), B.Ed.",1953-11-03T00:00:00,
2472,Deepak Prakash,Bharatiya Janata Party,Jharkhand,1.0,1.0,Shrimati Shiwani Prakash,Masters in Political Science,1960-04-14T00:00:00,
2474,Sumer Singh Solanki,Bharatiya Janata Party,Madhya Pradesh,1.0,1.0,Shrimati Manjula Solanki,"M.A. (History),  Ph.D.
Educated at Devi Ahilya Vishwavidyalaya, Indore, Madhya Pradesh",1972-05-01T00:00:00,
2475,Maharaja Sanajaoba Leishemba,Bharatiya Janata Party,Manipur,1.0,1.0,Shrimati Haobam Anamika Devi,"B.A. (English Hons.)
Educated at Maharaja Bodhchandra College, Imphal, Manipur",1972-03-01T00:00:00,
2476,Wanweiroy Kharlukhi,National Peoples Party,Meghalaya,,2.0,Shrimati Corina Lyngdoh,"B.A., M.A., M. Phil., Ph.D.
Educated at St. Anthony’s College, Shillong and North-Eastern Hill University, Shillong, Meghalaya",1956-11-27T00:00:00,
2477,Neeraj Dangi,Indian National Congress,Rajasthan,1.0,1.0,Dr. Preeti Soni,"B.E. (Civil)
Educated at Karnataka Regional Engineering College, Surathkal, Karnataka",1970-02-04T00:00:00,
