mpcode,name,party,state,numberOfSons,numberOfDaughters,spouse,qualification,dateOfBirth,profession
2533,Sumitra Balmik,Bharatiya Janata Party,Madhya Pradesh,1.0,2.0,Late Shri Gurucharan,"B.A.
Educated at M.P. Bhoj (Open) University, Bhopal, Madhya Pradesh",1955-07-01T00:00:00,
2534,S. Kalyanasundaram,Dravida Munnetra Kazhagam,Tamil Nadu,3.0,2.0,Shrimati K. Bhuvaneswari,"S.S.L.C. (dropout)
Educated at Little Flower Higher Secondary School, Kumbakonam, Tamil Nadu",1940-06-24T00:00:00,
2535,R. Girirajan,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,Shrimati G. Mythili,"B.L. (Bachelor of Laws)
Educated at Dr. Ambedkar Government Law College, Chennai, Tamil Nadu",1961-05-15T00:00:00,
2536,C. Ve. Shanmugam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,Shrimati Gowri,"B.L.
Educated at Law College, Madurai, Tamil Nadu",1965-05-01T00:00:00,
2537,R. Dharmar,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,Late Shrimati Sivakami,"B.A.
Educated at Bharathiar University, District Niligiris, Tamil Nadu",1970-04-05T00:00:00,
2538,Jaggesh,Bharatiya Janata Party,Karnataka,2.0,,Shrimati Parimala,"PUC, B.Sc.
Educated at Seshadripuram and Vivekananada Degree College, Karnataka",1963-03-17T00:00:00,
2539,Lahar Singh Siroya,Bharatiya Janata Party,Karnataka,2.0,1.0,Shrimati Shantha Bai Siroya,"B.Sc.
Educated at Fateh High School and 
Maharana Bhupal College, Udaipur, Rajasthan",1948-07-14T00:00:00,
2540,Manas Ranjan Mangaraj,Biju Janata Dal,Odisha,1.0,,Dr. Gayatribala Panda,"M.Sc. (Botany)
Educated at Berhampur University, Odisha",1971-02-19T00:00:00,
2541,Sulata Deo,Biju Janata Dal,Odisha,,1.0,Shri Bikram Keshari Deo,"B.A.
Educated at Sahaspur College,  Utkal University, Bhubaneswar, Odisha",1972-06-13T00:00:00,
2542,Imran Pratapgarhi,Indian National Congress,Maharashtra,,,,"M.A. (Hindi), Diploma in Journalism
Educated at Allahabad University, Uttar Pradesh",1987-08-06T00:00:00,
2543,Anil Sukhdeorao Bonde,Bharatiya Janata Party,Maharashtra,1.0,1.0,Dr. Vasudha Bonde,"M.B.B.S., M.D.
Educated at Government Medical College, Nagpur, Maharashtra",1960-08-03T00:00:00,
2544,Dhananjay Bhimrao Mahadik,Bharatiya Janata Party,Maharashtra,3.0,,Shrimati Arundhati,"B.Com.
Educated at Rajarshi Chh. Shahu College, Kolhapur and Shivaji University, Kolhapur, Maharashtra",1972-01-15T00:00:00,
2545,Sant Balbir Singh,Aam Aadmi Party,Punjab,,,,"Pre-University
Educated at Govt. School Nihaluwal, Distt. Jalandhar, Punjab",1962-02-02T00:00:00,
2546,Vikramjit Singh Sahney,Aam Aadmi Party,Punjab,1.0,1.0,Shrimati Daizy Paramjit Kaur,"Public Leadership Credential from Harvard Kennedy School, U.S.A., M.A. (Economics), Doctor of Literature (Honoris Causa) from Punjabi University, Patiala, Masters Degree in Economics and Business Administration from Punjab University",1962-02-20T00:00:00,
2547,Ghanshyam Tiwari,Bharatiya Janata Party,Rajasthan,2.0,1.0,Shrimati Pushpa Tiwari,"B.Com.,  LL.B.
Educated at  S.K. College, University of Rajasthan, Jaipur, Rajasthan",1947-12-19T00:00:00,
2548,Randeep Singh Surjewala,Indian National Congress,Rajasthan,2.0,,Shrimati  Gayatri Surjewala,"B. Com. (Hons.),   LL.B., M.A.
Educated at DAV College, Chandigarh, Faculty of Law, Punjab University, Chandigarh",1967-06-03T00:00:00,
2549,Mukul Balkrishna Wasnik,Indian National Congress,Rajasthan,1.0,1.0,Shrimati Ravina Khurana,"M.A., M.B.A.
Educated at St. Francis De'Sales High School, Nagpur, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",1959-09-27T00:00:00,
2551,Jayant Chaudhary,Rashtriya Lok Dal,Uttar Pradesh,,2.0,Shrimati Charu Singh,"B.Com. (Hons.), M.Sc. (Accounting and Finance) 
Educated at Shri Venkateshwara College, Delhi University and London School of Economics and Political Science, London, U.K.",1978-12-27T00:00:00,
2553,Darshana Singh,Bharatiya Janata Party,Uttar Pradesh,1.0,,Shri Rananjay Singh,"M.A.
Educated at Purvanchal Vishwavidyalaya, Jaunpur, Uttar Pradesh",1974-07-10T00:00:00,
2554,Baburam Nishad,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,Shrimati Neetu Nishad,"B.A., LL.B.
Educated at Bundelkhand University,  Jhansi, 
Uttar Pradesh",1969-08-15T00:00:00,
2555,Mithlesh Kumar,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,Shrimati Shakuntala Devi,"B.Sc.
Educated at Bareily College, Uttar Pradesh",1964-11-05T00:00:00,
2556,Radha Mohan Das Agrawal,Bharatiya Janata Party,Uttar Pradesh,,1.0,Shrimati Ragini Agrawal,"M.B.B.S., M.D.
Educated at Department of Pediatrics,  Institute of Medical Sciences, Banaras Hindu University, Varanasi, Uttar Pradesh",1955-03-06T00:00:00,
2557,K. Laxman,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,Shrimati Kova Uma,"B.Sc., M.Sc. (Geology) and Ph.D.  (Geology)
Educated at Osmania University, Hyderabad, Telangana",1956-07-03T00:00:00,
2558,Laxmikant Bajpayee,Bharatiya Janata Party,Uttar Pradesh,1.0,3.0,Dr. Madhu Bajpai,"B.Sc., B.A.M.S.
Educated at Meerut University, Kanpur University and  Rishikul Rajakiya Ayurvedic College,  Haridwar, Uttarakhand",1951-07-20T00:00:00,
2559,Sangeeta Yadav,Bharatiya Janata Party,Uttar Pradesh,1.0,,Shri Ajay Kumar,"LL.B.
Educated at Chaudhary Charan Singh University, Meerut, Uttar Pradesh",1981-07-20T00:00:00,
2560,Kalpana Saini,Bharatiya Janata Party,Uttarakhand,1.0,1.0,Dr. Nathi Ram Saini,"B.Ed, M.A. (Sanskrit), M.A. (Hindi), Ph.D. (Sanskrit)
Educated at University of Rajasthan, Jaipur, Chaudhary Charan Singh University, Meerut, (Uttar Pradesh) and Gurukul Kangri University, Haridwar,  Uttarakhand",1959-10-01T00:00:00,
2561,Khiru Mahto,Janata Dal (United),Bihar,2.0,1.0,Late Shrimati Murti Devi,"Matriculation
Educated at Hindi Vidhyapith, Deoghar 
(then Bihar)",1953-01-01T00:00:00,
2562,Faiyaz Ahmad,Rashtriya Janata Dal,Bihar,2.0,1.0,Shriamti Nikhat Rayazi,"B.A.,  M.A. (Sociology), Ph.D. (Sociology) 
Educated at L.N.M.U., Darbhanga, Bihar",1963-12-25T00:00:00,
2563,Shambhu Sharan Patel,Bharatiya Janata Party,Bihar,1.0,2.0,Shrimati Anju Patel,"Graduate
Educated at Magadh University, Bihar",1982-02-20T00:00:00,
2564,Aditya Prasad,Bharatiya Janata Party,Jharkhand,1.0,1.0,Shrimati Lalita Devi,"M.Com. 
Educated at Ranchi University, Ranchi, Jharkhand",1963-10-07T00:00:00,
2565,Mahua Maji,Jharkhand Mukti Morcha,Jharkhand,2.0,,Shri Subodh Kumar Maji,"B.A. (Hons.), M.A. (Sociology), U.G.C. - NET,
Ph.D. 
Educated at Ranchi University, Ranchi, Jharkhand",1964-12-10T00:00:00,
2566,Ilaiyaraaja,Nominated,Nominated,2.0,1.0,Late Shrimati Jeeva,,1943-06-02T00:00:00,
2567,Dharmasthala Veerendra Heggade,Nominated,Nominated,,1.0,Shrimati Hemavathi V. Heggade,"B.A.
Educated at Bengaluru, Karnataka",1948-11-25T00:00:00,
2568,P. T. Usha,Nominated,Nominated,1.0,,Shri Sreenivasan V.,"Pre-degree 
Educated at Providence Women’s College, Calicut, Kerala",1964-05-20T00:00:00,
2569,V. Vijayendra Prasad,Nominated,Nominated,1.0,1.0,Late Shrimati Raja Nandini,"B.Sc.
Educated at Andhra University, Eluru 
(Andhra Pradesh)",1943-02-01T00:00:00,
2571,Kartikeya Sharma,Independent & Others,Haryana,1.0,1.0,Shrimati Aishwarya Pandit,"B.Sc. (Business Management)
Educated at Kings College, University of London, London, U.K.",1981-05-14T00:00:00,
2572,Gulam Ali,Bharatiya Janata Party,Nominated,3.0,,Shrimati  Viqar-ul-Nisa,"B.E. (Electrical)
Educated at Government College of Engineering and Technology, Jammu, University of Jammu",1971-03-01T00:00:00,
2574,Saket Gokhale,All India Trinamool Congress,West Bengal,,,,"Bachelor of Mass Media (Journalism), Teacher of English as a Foreign Language, Certificate in Teaching English to Speakers of Other Languages (CertTESOL) (Level 5-UK Ofqual’s Regulated Qualifications Framework)
Educated at Wilson College, University of Mumbai, Mumbai, Maharashtra, Prague Schools, Prague, Czech Republic and Trinity College, London, United Kingdom",1987-01-31T00:00:00,
2575,Sadanand Mhalu Shet Tanavade,Bharatiya Janata Party,Goa,2.0,,Shrimati Snehal Shet Tanavade,"B.Com., M.Com., Diploma in Marketing Management
Educated at University of Bombay, Shivaji University, Kolhapur, Maharashtra and The Indian Institute of Management and Services, New Delhi",1967-01-31T00:00:00,
2576,Babubhai Jesangbhai Desai,Bharatiya Janata Party,Gujarat,2.0,1.0,Late Shrimati Ambaben,"SSC
Educated at Maharana P.J. High School, Jangral, Distt. Patan, Gujarat",1957-06-01T00:00:00,
2577,Prakash Chik Baraik,All India Trinamool Congress,West Bengal,,,Shrimati Lalita Beck Chik Baraik,"B.Com.
Educated at University of North Bengal, Siliguri, West Bengal",1980-04-25T00:00:00,
2578,Samirul Islam,All India Trinamool Congress,West Bengal,,1.0,Shrimati Sabnam Sultana,"B.Sc., M.Sc. (Chemistry)
Educated at Maharaja Manindra Chandra College, Kolkata and Indian Institute of Technology, Delhi",1987-04-03T00:00:00,
2579,Kesridevsinh Jhala,Bharatiya Janata Party,Gujarat,,,Shrimati Yogini Kumari,Degree in Tourism and Leisure Management,1982-11-05T00:00:00,
2580,Nagendra Ray,Bharatiya Janata Party,West Bengal,2.0,1.0,Shrimati Sabitri Ray,Pre-matriculate,1958-10-01T00:00:00,
2581,Dinesh Sharma,Bharatiya Janata Party,Uttar Pradesh,,,Shrimati Jaya Lakshmi Sharma,"B.Com., M.Com., Ph.D. and Diploma in Public Administration
Educated at Lucknow University, Lucknow, Uttar Pradesh",1964-01-12T00:00:00,
2582,Swati Maliwal,Aam Aadmi Party,National Capital Territory of Delhi,,,,"Bachelor of Technology (Information Technology)
Educated at JSS Academy of Technical Education, Technical University, Noida, Uttar Pradesh",1984-10-15T00:00:00,
2583,Satnam Singh Sandhu,Bharatiya Janata Party,Nominated,2.0,,Shrimati Damandeep Kaur,"Graduate 
Educated at Guru Nanak College, Ferozepur Cantt and Guru Nanak College, Moga, Punjab",1969-09-11T00:00:00,
2584,Dorjee Tshering Lepcha,Bharatiya Janata Party,Sikkim,1.0,1.0,Shrimati Devika Lepcha,"Intermediate 
Educated from Army School",1957-04-15T00:00:00,
2585,Sudha Murty,Nominated,Nominated,1.0,1.0,Shri Narayana Murthy,"Masters in Electrical Engineering
Educated at B.V.B. College of Engineering, Hubli, Indian Institute of Science, Bangalore, Karnataka",1950-08-19T00:00:00,
2586,Golla Baburao,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,1.0,Shrimati Golla Vasantha Kumari,"B.Com., M.A., LL.B.
Educated at C.R. Reddy College, Eluru, Jabalpur University, Madhya Pradesh and Osmania University, Hyderabad, Telangana",1954-08-10T00:00:00,
2587,Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2.0,,,"S.S.C.
Educated at ZPH School, Tangutur(V), Nandalur (M), Kadapa District, Andhra Pradesh",1965-06-18T00:00:00,
2588,Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,,Shrimati Swarnalatha Reddy Yerram,"M.B.A. (Marketing and Finance)
Educated at Bharathi Vidyapeeth Institute of Management, Solapur and Sivaji University Kolhapur, Maharashtra",1960-05-01T00:00:00,
2589,Dharmshila Gupta,Bharatiya Janata Party,Bihar,2.0,2.0,Shri Parshuram Gupta,"M.Sc.(Botany), B.Ed.,Ph.D.
Educated at Lalit Narayan Mithila University, Darbhanga, Bihar",1969-11-27T00:00:00,
2590,Bhim Singh,Bharatiya Janata Party,Bihar,,2.0,Shrimati Malti Singh,"B.Sc. (Mechanical Engineering), 
Diploma in Safety Management, 
LL.B., 
M.A. (Labour and Social Welfare),
M.A. (Sociology),
Ph.D. (Labour and Social Welfare) 
Educated at Patna University, Patna, Bihar",1962-11-30T00:00:00,
2591,Sanjay Kumar Jha,Janata Dal (United),Bihar,1.0,2.0,Shrimati Enakshi Jha,"M.A.  
Educated at Jawaharlal Nehru University, New Delhi",1967-12-01T00:00:00,
2592,Sanjay Yadav,Rashtriya Janata Dal,Bihar,1.0,2.0,Shrimati Sunishtha,"M.Sc. (Computer Science) 
Educated at M.C.R.P.  University, Bhopal, Madhya Pradesh, (New Delhi Center)",1984-02-24T00:00:00,
2593,Devendra Pratap Singh,Bharatiya Janata Party,Chhattisgarh,2.0,,Shrimati Bhawani Devi Singh,"B.A. (Pass), M.A. (History) 
Educated at Rajkumar College, Raipur, Chhattisgarh, St. Stephen’s College and   South Campus, Delhi University",1964-05-02T00:00:00,
2594,Govindbhai Laljibhai Dholakia,Bharatiya Janata Party,Gujarat,1.0,2.0,Shrimati Champaben Govindbhai Dholakia,"6th standard
Educated at Lathi Primary School, Lathi, Gujarat",1947-11-07T00:00:00,
2595,Parmar Jashvantsinh Salamsinh,Bharatiya Janata Party,Gujarat,1.0,1.0,Shrimati  Kalpnabahen Jashvantsinh Parmar,"M.B.B.S., M.S. 
Educated at B.J. Medical College, Ahmedabad, Gujarat and N.H.L. Medical College, Ahmedabad, Gujarat",1975-06-15T00:00:00,
2596,Mayankkumar Nayak,Bharatiya Janata Party,Gujarat,2.0,,Shrimati Meeta Nayak,"Diploma in Mechanical Engineering 
Educated at T.E.B. Gujarat Government Polytechnic, Ahmedabad, Gujarat",1971-09-18T00:00:00,
2597,Subhash Barala,Bharatiya Janata Party,Haryana,1.0,1.0,Shrimati Darshna,"Diploma in Engineering, Bachelor of Technology (Civil); M.A. (Political Science), Kurukshetra University
Currently pursuing Ph.D. (Public Administration) at Kurukshetra University, Haryana.
Educated at H.M.S. Polytechnic Tumkur, Bengaluru; Sunrise University, Rajasthan and Kurukshetra University, Haryana",1967-12-05T00:00:00,
2598,Harsh Mahajan,Bharatiya Janata Party,Himachal Pradesh,1.0,1.0,Shrimati Uma Mahajan,"B.Com. (Hons.), P.G. in Business Administration
Educated at Shri Ram College of Commerce, Delhi",1955-12-12T00:00:00,
2599,Ajay Makan,Indian National Congress,Karnataka,1.0,2.0,Shrimati Radhika Maken,"B.A., Post Graduate Diploma in Applied Statistics (PGDAS) with specialisation in Data Analytics
Educated at University of Delhi, Delhi; Indian Statistical Institute (ISI), Kolkata, West Bengal",1964-01-12T00:00:00,
2600,Narayanasa K. Bhandage,Bharatiya Janata Party,Karnataka,2.0,3.0,Shrimati Vimala Narayanasa Bhandage,"B.A.
Educated at B.V.V.S. College, Bagalkot, Karnataka",1951-11-20T00:00:00,
2601,Ashok Singh,Indian National Congress,Madhya Pradesh,1.0,3.0,Shrimati Rajesh Rani Singh,"B.Com.
Educated at Jiwaji University, Gwalior, Madhya Pradesh",1963-11-01T00:00:00,
2602,Balyogi Umeshnath,Bharatiya Janata Party,Madhya Pradesh,,,,Literate,1964-11-19T00:00:00,
2603,Banshilal Gurjar,Bharatiya Janata Party,Madhya Pradesh,2.0,3.0,Shrimati Ramadevi Gurjar,"M.A. (Political Science)
Educated at Government P.G. College, Mandsaur, Madhya Pradesh",1960-09-05T00:00:00,
2604,Maya Naroliya,Bharatiya Janata Party,Madhya Pradesh,1.0,3.0,Shri Vikram Singh Naroliya,"12th Standard
Educated at Narmadapuram, Hoshangabad (Madhya Pradesh)",1961-06-16T00:00:00,
2605,Medha Vishram Kulkarni,Bharatiya Janata Party,Maharashtra,1.0,1.0,Shri Vishram Raghunath Kulkarni,"B.Sc., B.Ed., M.Ed.,Ph.D.
Educated at Abasaheb Garware College, Pune, Adarsh B.Ed. College, Pune, Adarsh Comprehensive College of Research and Education, Pune, S.P.P.U., Pune, Maharashtra",1969-10-30T00:00:00,
2606,Ajeet Madhavrao Gopchade,Bharatiya Janata Party,Maharashtra,1.0,1.0,Dr. Chetna Ajeet Gopchade,"M.B.B.S., M.D. (Paediatrics)
Educated at Prativa Niketan High School, Nanded, Maharashtra, Yashwant College Nanded, Maharashtra, Government Medical College, Aurangabad, Maharshtra and Swami Ramanand Teerth Rural Government Medical College, Ambajogai, Maharashtra",1970-11-19T00:00:00,
2607,Ashokrao Shankarrao Chavan,Bharatiya Janata Party,Maharashtra,,2.0,Shrimati Ameeta Ashok Chavan,"B.Sc., M.B.A.
Educated at Bombay University, Mumbai and J.D.C. Bytco Institute of Management Studies and Research, Nashik, Maharashtra",1958-10-28T00:00:00,
2608,Milind Murli Deora,Shiv Sena,Maharashtra,,1.0,Shrimati Pooja Shetty,"Bachelor of Science in Business Administration
Educated at Boston University, U.S.A.",1976-12-04T00:00:00,
2609,Chandrakant Damodar Handore,Indian National Congress,Maharashtra,1.0,5.0,Shrimati Sangeeta Chandrakant Handore,"B.A. 
Educated at  Adarsh Vidyamandir, Chembur and Siddharth College of Arts, Science and  Commerce, Mumbai, Maharastra",1957-03-13T00:00:00,
2610,Anil Kumar Yadav Mandadi,Indian National Congress,Telangana,2.0,,Shrimati Devika Yadav Mandadi,"B.Com., LL.B.
Educated at Osmania University, Hyderabad, Telangana",1982-09-09T00:00:00,
2611,Amar Pal Maurya,Bharatiya Janata Party,Uttar Pradesh,2.0,,Shrimati Rama Kushwaha,"M.A. in Yoga
Educated at Jain Vishwabharti Institute (Deemed University), Ladnun, Rajasthan",1980-09-11T00:00:00,
2612,Tejveer Singh,Bharatiya Janata Party,Uttar Pradesh,3.0,1.0,Shrimati Gyan Kumari alias Rajkumari,"Intermediate (XIIth) 
Educated at Champa Agrawal Inter College, Mathura, Uttar Pradesh",1959-12-02T00:00:00,
2613,Naveen Jain,Bharatiya Janata Party,Uttar Pradesh,1.0,3.0,Shrimati Renu Jain,"B.A.
Educated at Dr. Bhim Rao Ambedkar University, Agra, Uttar Pradesh",1962-02-20T00:00:00,
2614,Ratanjit Pratap Narain Singh,Bharatiya Janata Party,Uttar Pradesh,,3.0,Shrimati Sonia Singh,"B.A. (Honours) History
Educated at The Doon School, Dehradun and St. Stephens College, Delhi University, Delhi",1964-04-25T00:00:00,
2615,Ramji Lal Suman,Samajwadi Party,Uttar Pradesh,1.0,3.0,Late Shrimati Premvati Suman,"B.A., LL.B.
Educated at Agra University, Agra, Uttar Pradesh",1950-07-25T00:00:00,
2616,Sadhna Singh,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,Shri Chhabinath,"Graduate
Educated at Sampurnanand Saraswati University, Uttar Pradesh",1974-08-17T00:00:00,
2617,Sangeeta Balwant,Bharatiya Janata Party,Uttar Pradesh,2.0,,Shri Awadhesh Kumar Singh,"LL.B, B.Ed., Ph.D.
Educated at Ghazipur Post Graduate College, Veer Bahadur Singh Purvanchal University, Jaunpur, Uttar Pradesh",1978-10-01T00:00:00,
2618,Mahendra Bhatt,Bharatiya Janata Party,Uttarakhand,1.0,1.0,Shrimati Munni Devi,"B.Com., M.Com.
Educated from P.S.K. Inter College, Rishikesh, Uttar Pradesh, Shri Bharat Mandir Inter College, Rishikesh, Uttar Pradesh, Government Post Graduate College, Rishikesh and Hemvati Nandan Bahuguna Garhwal University, Srinagar, Distt. Garhwal, Uttarakhand",1971-08-04T00:00:00,
2619,Mamata Thakur,All India Trinamool Congress,West Bengal,,3.0,Late Shri Kapil Krishna Thakur,Under Matric,1967-05-15T00:00:00,
2620,Samik Bhattacharya,Bharatiya Janata Party,West Bengal,,,,"Bachelor of Arts (Pass) 
Educated at Surendranath College, University of Calcutta, Kolkata, West Bengal",1963-11-05T00:00:00,
2621,Sagarika Ghose,All India Trinamool Congress,West Bengal,1.0,1.0,Shri Rajdeep Sardesai,"B.A. (Hons.) History, B.A./M.A., M.Phil. in International Relations
Educated at St. Stephen’s College, Delhi University, Delhi Magdalen College, Oxford University, U.K. and St. Antony’s College, Oxford University, U.K.",1964-11-08T00:00:00,
2622,Debashish Samantaray,Biju Janata Dal,Odisha,,3.0,Shrimati Bitasta Samantaray,"B.A. (Philosophy)
Educated at Sri Aurobindo International Centre of Education, Puducherry(studied Philosophy and Economics in French and English medium)",1960-02-11T00:00:00,
2623,Subhasish Khuntia,Biju Janata Dal,Odisha,1.0,,Shrimati Swapnarani Jena,"B.A., LL.B., M.A.
Educated at Surajmal Saha College, Puri, Odisha, G.M. Law College (Utkal University), Puri, Odisha and JRN Rajasthan Vidyapith (Deemed University), Udaipur, Rajasthan",1983-07-05T00:00:00,
2624,Chunnilal Garasiya,Bharatiya Janata Party,Rajasthan,2.0,5.0,Shrimati Laxmi Devi Garasiya,"M.A. 
Educated at Calorx Teachers’ University, Gujarat",1953-09-05T00:00:00,
2625,Madan Rathore,Bharatiya Janata Party,Rajasthan,2.0,1.0,Shrimati Usha Rathore,"B.Sc. (Maths)
Educated at Government Bangur College, Pali, Rajasthan",1954-07-02T00:00:00,
2626,Sonia Gandhi,Indian National Congress,Rajasthan,1.0,1.0,Late Shri Rajiv Gandhi,"Certificate course in English language, Three year course in Foreign Languages (English and French) 
Educated at Lennox Cook School, University of Cambridge, U.K. and Istituto Santa Teresa via Santa Teresa 10, Turin, Italy",1946-12-09T00:00:00,
2627,Pradip Kumar Varma,Bharatiya Janata Party,Jharkhand,1.0,1.0,Shrimati Sarita Varma,"B.Com., M.B.A., M.A. (Hindi), Ph.D. (Hindi)
Educated at Calcutta University, Kolkata, Vinayaka Missions University, Ranchi, and Sai Nath University, Ranchi, Jharkhand",1972-02-24T00:00:00,
2628,Sarfraz Ahmad,Jharkhand Mukti Morcha,Jharkhand,1.0,1.0,Shrimati Zainab Ahmed,"B.A. (Hons.), M.A. (Political Science), Ph.D., Diploma in Foreign Affairs (Department of Law) 
Educated at Aligarh Muslim University, Aligarh, Uttar Pradesh and Ranchi University, Jharkhand",1953-12-15T00:00:00,
2629,Sunetra Ajit Pawar,Nationalist Congress Party,Maharashtra,2.0,,Shri Ajit Anantrao Pawar,"B.Com.
Educated at S.B. College, Aurangabad, Maharashtra",1963-10-18T00:00:00,
2630,P. P. Suneer,Communist Party of India,Kerala,1.0,2.0,Shrimati K.A.Shahina,"B.A., M.A. (Political Science)
Educated at Sree Kerala Varma College, Thrissur, Kerala",1968-05-31T00:00:00,
2631,Haris Beeran,Indian Union Muslim League,Kerala,2.0,,Shrimati Majda Tahaani Haris,"LL.B.
Educated at Government Law College, Ernakulam, Kerala",1976-01-30T00:00:00,
2633,Rameswar Teli,Bharatiya Janata Party,Assam,,,,"10th Pass
Educated at Tipling Ghat High School, Duliajan, Assam",1970-08-14T00:00:00,
2634,Manan Kumar Mishra,Bharatiya Janata Party,Bihar,3.0,,Late Shrimati Siddhidatry Mishra,"B.Sc. (Hons.), LL.B.
Educated at V. M. College, Gopalganj, Rajendra College, Chhapra and Patna Law College, Patna, Bihar",1956-11-01T00:00:00,
2635,Kiran Choudhry,Bharatiya Janata Party,Haryana,,1.0,Late Ch. Surender Singh,"B.A., LL.B.
Educated at Adarsh College, Bhiwani, Haryana and Punjab University, Chandigarh",1955-06-05T00:00:00,
2636,George Kurian,Bharatiya Janata Party,Madhya Pradesh,2.0,,Shrimati O.T. Annamma,"Bachelor of Legislative Law(LL.B.) 
Educated at School of Indian Legal Thought, MG University, Kottayam, Kerala",1960-09-20T00:00:00,
2637,Dhairyashil Mohan Patil,Bharatiya Janata Party,Maharashtra,,2.0,Shrimati Nilima Dhairyashil Patil,"B.E. Civil
Educated at Mumbai University, Mumbai, Maharashtra",1971-03-22T00:00:00,
2638,Nitin Laxmanrao Jadhav Patil,Nationalist Congress Party,Maharashtra,2.0,,Shrimati Pratima Nitin Jadhav Patil,"Diploma in Pharmacy
Educated at Satara Polytechnic College, Satara, Maharashtra",1968-02-12T00:00:00,
2639,Ravneet Singh,Bharatiya Janata Party,Rajasthan,1.0,,Shrimati Anupama Jhajj,"B.C.A. 
Educated at Guru Nanak Public School, Government College, Chandigarh and Eastern Institute of Integrated Learning in Management University",1975-09-10T00:00:00,
2640,Rajib Bhattacharjee,Bharatiya Janata Party,Tripura,,2.0,Shrimati Soma Bhattacharjee,"12th 
Educated at Chhattisgarh",1972-08-31T00:00:00,
2641,Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,,,Shrimati Sana Naga Jyothi,Diploma in Mechanical Engineering,1972-08-19T00:00:00,
2642,Rekha Sharma,Bharatiya Janata Party,Haryana,,2.0,Lieutenant Colonel Vikram Sharma,"B.A., Post Graduate Diploma in Human Rights, Diploma in Marketing, Advertising Management and Diploma in Fashion Designing  
Educated at D.A.V. College, Dehradun, Uttarakhand, Indian Institute of Human Rights, New Delhi, Institute of Technology and Future Management Trends (ITFT), Chandigarh and South Delhi Polytechnic for Women, New Delhi",1963-09-01T00:00:00,
2644,Kanad Purkayastha,Bharatiya Janata Party,Assam,1.0,1.0,Shrimati Taramoni Purkayastha,"B.Sc. (Life Science)
Educated at Gurucharan College, Gauhati University,
Silchar, Assam",1968-02-22T00:00:00,
2646,C. Sadanandan Master,Bharatiya Janata Party,Nominated,,1.0,Shrimati Vanitharani T.,"B.Com., B.Ed.
Educated at Calicut University, Calicut, Kerala and Gauhati University, Tezpur, Assam",1964-05-01T00:00:00,
2647,Harsh Vardhan Shringla,Bharatiya Janata Party,Nominated,1.0,,,"B.A. (Hons.) History, Course on Conflict Prevention
Educated at St. Stephen’s College, University of Delhi
and Columbia University, New York",1962-05-01T00:00:00,
2648,Meenakshi Jain,Nominated,Nominated,1.0,,Late Shri O.P. Bakshi,"B.A, M.A, M.Phil., Ph.D.
Educated at University of Delhi, Delhi",1953-07-09T00:00:00,
2649,Kamal Haasan,Makkal Needhi Maiam,Tamil Nadu,,2.0,,"8th Standard 
Educated at Sir M. Ct. Muthiah Chettiar Boys Higher Secondary School, Chennai, Tamil Nadu",1954-11-07T00:00:00,
2653,M. Dhanapal,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,Shrimati D. Gayathri Dhanapal,"B.Com, B.L., M.A. (Eco.), M.L., PGDCA, M.B.A. (HR), M.S.W., Ph.D. 
Educated at S.I.V.E.T. College, Chennai, Law College, Madurai, University of Madras, Chennai, Madurai Kamaraj University, Madurai, Annamalai University, Chidambaram and Tamil Nadu Open University, Chennai, Tamil Nadu",1958-09-03T00:00:00,
