name,party,constituency,sons,daughters,state,year
Eknath Shinde,SHS,Kopri-Pachpakhadi,2,0,Maharashtra,2024
Devendra Fadnavis,BJP,Nagpur South West,0,1,Maharashtra,2024
Ajit Pawar,NCP,Baramati,2,0,Maharashtra,2024
Aaditya Thackeray,SHSUBT,Worli,0,0,Maharashtra,2024
Rohit Pawar,NCP-SP,Karjat-Jamkhed,0,0,Maharashtra,2024
